"","feature","symbol","human_ortholog","gene_title","chr","source","gene_name","data_type"
"px:Caveolin-1","px:Caveolin-1","Caveolin-1","Caveolin-1",NA,NA,"org.Hs.eg.db","px:Caveolin-1","px"
"px:PDCD4","px:PDCD4","PDCD4","PDCD4","programmed cell death 4","10q25.2","org.Hs.eg.db","px:PDCD4","px"
"px:Collagen_VI","px:Collagen_VI","Collagen_VI","Collagen_VI",NA,NA,"org.Hs.eg.db","px:Collagen_VI","px"
"px:GATA3","px:GATA3","GATA3","GATA3","GATA binding protein 3","10p14","org.Hs.eg.db","px:GATA3","px"
"px:MAPK_pT202_Y204","px:MAPK_pT202_Y204","MAPK_pT202_Y204","MAPK_pT202_Y204",NA,NA,"org.Hs.eg.db","px:MAPK_pT202_Y204","px"
"px:HER2","px:HER2","HER2","HER2",NA,NA,"org.Hs.eg.db","px:HER2","px"
"px:Cyclin_B1","px:Cyclin_B1","Cyclin_B1","Cyclin_B1",NA,NA,"org.Hs.eg.db","px:Cyclin_B1","px"
"px:HSP70","px:HSP70","HSP70","HSP70",NA,NA,"org.Hs.eg.db","px:HSP70","px"
"px:E-Cadherin","px:E-Cadherin","E-Cadherin","E-Cadherin",NA,NA,"org.Hs.eg.db","px:E-Cadherin","px"
"px:EGFR_pY1068","px:EGFR_pY1068","EGFR","EGFR","epidermal growth factor receptor","7p11.2","org.Hs.eg.db","px:EGFR_pY1068","px"
"px:Fibronectin","px:Fibronectin","Fibronectin","Fibronectin",NA,NA,"org.Hs.eg.db","px:Fibronectin","px"
"px:Bcl-2","px:Bcl-2","Bcl-2","Bcl-2",NA,NA,"org.Hs.eg.db","px:Bcl-2","px"
"px:c-Kit","px:c-Kit","c-Kit","c-Kit",NA,NA,"org.Hs.eg.db","px:c-Kit","px"
"px:AR","px:AR","AR","AR","androgen receptor","Xq12","org.Hs.eg.db","px:AR","px"
"px:IGFBP2","px:IGFBP2","IGFBP2","IGFBP2","insulin like growth factor binding protein 2","2q35","org.Hs.eg.db","px:IGFBP2","px"
"px:HER2_pY1248","px:HER2_pY1248","HER2_pY1248","HER2_pY1248",NA,NA,"org.Hs.eg.db","px:HER2_pY1248","px"
"px:Claudin-7","px:Claudin-7","Claudin-7","Claudin-7",NA,NA,"org.Hs.eg.db","px:Claudin-7","px"
"px:Caspase-7_cleavedD198","px:Caspase-7_cleavedD198","Caspase-7_cleavedD198","Caspase-7_cleavedD198",NA,NA,"org.Hs.eg.db","px:Caspase-7_cleavedD198","px"
"px:Akt_pS473","px:Akt_pS473","Akt_pS473","Akt_pS473",NA,NA,"org.Hs.eg.db","px:Akt_pS473","px"
"px:PAI-1","px:PAI-1","PAI-1","PAI-1",NA,NA,"org.Hs.eg.db","px:PAI-1","px"
"px:GAB2","px:GAB2","GAB2","GAB2","GRB2 associated binding protein 2","11q14.1","org.Hs.eg.db","px:GAB2","px"
"px:ACC1","px:ACC1","ACC1","ACC1",NA,NA,"org.Hs.eg.db","px:ACC1","px"
"px:ACC_pS79","px:ACC_pS79","ACC_pS79","ACC_pS79",NA,NA,"org.Hs.eg.db","px:ACC_pS79","px"
"px:Annexin_I","px:Annexin_I","Annexin_I","Annexin_I",NA,NA,"org.Hs.eg.db","px:Annexin_I","px"
"px:STAT5-alpha","px:STAT5-alpha","STAT5-alpha","STAT5-alpha",NA,NA,"org.Hs.eg.db","px:STAT5-alpha","px"
"px:INPP4B","px:INPP4B","INPP4B","INPP4B","inositol polyphosphate-4-phosphatase type II B","4q31.21","org.Hs.eg.db","px:INPP4B","px"
"px:GSK3-alpha-beta_pS21_S9","px:GSK3-alpha-beta_pS21_S9","GSK3-alpha-beta_pS21_S9","GSK3-alpha-beta_pS21_S9",NA,NA,"org.Hs.eg.db","px:GSK3-alpha-beta_pS21_S9","px"
"px:Akt_pT308","px:Akt_pT308","Akt_pT308","Akt_pT308",NA,NA,"org.Hs.eg.db","px:Akt_pT308","px"
"px:4E-BP1_pT37","px:4E-BP1_pT37","4E-BP1_pT37","4E-BP1_pT37",NA,NA,"org.Hs.eg.db","px:4E-BP1_pT37","px"
"px:S6_pS235_S236","px:S6_pS235_S236","S6_pS235_S236","S6_pS235_S236",NA,NA,"org.Hs.eg.db","px:S6_pS235_S236","px"
"px:Syk","px:Syk","SYK","SYK","spleen associated tyrosine kinase","9q22.2","org.Hs.eg.db","px:Syk","px"
"px:VEGFR2","px:VEGFR2","VEGFR2","VEGFR2",NA,NA,"org.Hs.eg.db","px:VEGFR2","px"
"px:p53","px:p53","p53","p53",NA,NA,"org.Hs.eg.db","px:p53","px"
"px:ASNS","px:ASNS","ASNS","ASNS","asparagine synthetase (glutamine-hydrolyzing)","7q21.3","org.Hs.eg.db","px:ASNS","px"
"px:beta-Catenin","px:beta-Catenin","beta-Catenin","beta-Catenin",NA,NA,"org.Hs.eg.db","px:beta-Catenin","px"
"px:p70S6K","px:p70S6K","p70S6K","p70S6K",NA,NA,"org.Hs.eg.db","px:p70S6K","px"
"px:EGFR","px:EGFR","EGFR","EGFR","epidermal growth factor receptor","7p11.2","org.Hs.eg.db","px:EGFR","px"
"px:Rb_pS807_S811","px:Rb_pS807_S811","Rb_pS807_S811","Rb_pS807_S811",NA,NA,"org.Hs.eg.db","px:Rb_pS807_S811","px"
"px:Cyclin_E1","px:Cyclin_E1","Cyclin_E1","Cyclin_E1",NA,NA,"org.Hs.eg.db","px:Cyclin_E1","px"
"px:NF-kB-p65_pS536","px:NF-kB-p65_pS536","NF-kB-p65_pS536","NF-kB-p65_pS536",NA,NA,"org.Hs.eg.db","px:NF-kB-p65_pS536","px"
"px:Chk2_pT68","px:Chk2_pT68","Chk2_pT68","Chk2_pT68",NA,NA,"org.Hs.eg.db","px:Chk2_pT68","px"
"px:ERK2","px:ERK2","ERK2","ERK2",NA,NA,"org.Hs.eg.db","px:ERK2","px"
"px:Src_pY527","px:Src_pY527","SRC","SRC","SRC proto-oncogene, non-receptor tyrosine kinase","20q11.23","org.Hs.eg.db","px:Src_pY527","px"
"px:CD31","px:CD31","CD31","CD31",NA,NA,"org.Hs.eg.db","px:CD31","px"
"px:Shc_pY317","px:Shc_pY317","Shc_pY317","Shc_pY317",NA,NA,"org.Hs.eg.db","px:Shc_pY317","px"
"px:4E-BP1","px:4E-BP1","4E-BP1","4E-BP1",NA,NA,"org.Hs.eg.db","px:4E-BP1","px"
"px:AMPK_pT172","px:AMPK_pT172","AMPK_pT172","AMPK_pT172",NA,NA,"org.Hs.eg.db","px:AMPK_pT172","px"
"px:S6_pS240_S244","px:S6_pS240_S244","S6_pS240_S244","S6_pS240_S244",NA,NA,"org.Hs.eg.db","px:S6_pS240_S244","px"
"px:YAP_pS127","px:YAP_pS127","YAP_pS127","YAP_pS127",NA,NA,"org.Hs.eg.db","px:YAP_pS127","px"
"px:Lck","px:Lck","LCK","LCK","LCK proto-oncogene, Src family tyrosine kinase","1p35.2","org.Hs.eg.db","px:Lck","px"
"px:53BP1","px:53BP1","53BP1","53BP1",NA,NA,"org.Hs.eg.db","px:53BP1","px"
"px:RBM3","px:RBM3","RBM3","RBM3","RNA binding motif protein 3","Xp11.23","org.Hs.eg.db","px:RBM3","px"
"px:mTOR","px:mTOR","MTOR","MTOR","mechanistic target of rapamycin kinase","1p36.22","org.Hs.eg.db","px:mTOR","px"
"px:B-Raf","px:B-Raf","B-Raf","B-Raf",NA,NA,"org.Hs.eg.db","px:B-Raf","px"
"px:ATM","px:ATM","ATM","ATM","ATM serine/threonine kinase","11q22.3","org.Hs.eg.db","px:ATM","px"
"px:p38_pT180_Y182","px:p38_pT180_Y182","p38_pT180_Y182","p38_pT180_Y182",NA,NA,"org.Hs.eg.db","px:p38_pT180_Y182","px"
"px:Akt","px:Akt","Akt","Akt",NA,NA,"org.Hs.eg.db","px:Akt","px"
"px:Cyclin_D1","px:Cyclin_D1","Cyclin_D1","Cyclin_D1",NA,NA,"org.Hs.eg.db","px:Cyclin_D1","px"
"px:S6","px:S6","S6","S6",NA,NA,"org.Hs.eg.db","px:S6","px"
"px:ER-alpha_pS118","px:ER-alpha_pS118","ER-alpha_pS118","ER-alpha_pS118",NA,NA,"org.Hs.eg.db","px:ER-alpha_pS118","px"
"px:Chk2","px:Chk2","Chk2","Chk2",NA,NA,"org.Hs.eg.db","px:Chk2","px"
"px:Src_pY416","px:Src_pY416","SRC","SRC","SRC proto-oncogene, non-receptor tyrosine kinase","20q11.23","org.Hs.eg.db","px:Src_pY416","px"
"px:GSK3-alpha-beta","px:GSK3-alpha-beta","GSK3-alpha-beta","GSK3-alpha-beta",NA,NA,"org.Hs.eg.db","px:GSK3-alpha-beta","px"
"px:HER3","px:HER3","HER3","HER3",NA,NA,"org.Hs.eg.db","px:HER3","px"
"px:eEF2K","px:eEF2K","EEF2K","EEF2K","eukaryotic elongation factor 2 kinase","16p12.2","org.Hs.eg.db","px:eEF2K","px"
"px:Bim","px:Bim","Bim","Bim",NA,NA,"org.Hs.eg.db","px:Bim","px"
"px:PTEN","px:PTEN","PTEN","PTEN","phosphatase and tensin homolog","10q23.31","org.Hs.eg.db","px:PTEN","px"
"px:Ku80","px:Ku80","Ku80","Ku80",NA,NA,"org.Hs.eg.db","px:Ku80","px"
"px:Tuberin","px:Tuberin","Tuberin","Tuberin",NA,NA,"org.Hs.eg.db","px:Tuberin","px"
"px:P-Cadherin","px:P-Cadherin","P-Cadherin","P-Cadherin",NA,NA,"org.Hs.eg.db","px:P-Cadherin","px"
"px:DJ-1","px:DJ-1","DJ-1","DJ-1",NA,NA,"org.Hs.eg.db","px:DJ-1","px"
"px:p27","px:p27","p27","p27",NA,NA,"org.Hs.eg.db","px:p27","px"
"px:PKC-alpha_pS657","px:PKC-alpha_pS657","PKC-alpha_pS657","PKC-alpha_pS657",NA,NA,"org.Hs.eg.db","px:PKC-alpha_pS657","px"
"px:JNK_pT183_pT185","px:JNK_pT183_pT185","JNK_pT183_pT185","JNK_pT183_pT185",NA,NA,"org.Hs.eg.db","px:JNK_pT183_pT185","px"
"px:MEK1","px:MEK1","MEK1","MEK1",NA,NA,"org.Hs.eg.db","px:MEK1","px"
"px:Paxillin","px:Paxillin","Paxillin","Paxillin",NA,NA,"org.Hs.eg.db","px:Paxillin","px"
"px:alpha-Catenin","px:alpha-Catenin","alpha-Catenin","alpha-Catenin",NA,NA,"org.Hs.eg.db","px:alpha-Catenin","px"
"px:YB-1_pS102","px:YB-1_pS102","YB-1_pS102","YB-1_pS102",NA,NA,"org.Hs.eg.db","px:YB-1_pS102","px"
"px:p70S6K_pT389","px:p70S6K_pT389","p70S6K_pT389","p70S6K_pT389",NA,NA,"org.Hs.eg.db","px:p70S6K_pT389","px"
"px:JNK2","px:JNK2","JNK2","JNK2",NA,NA,"org.Hs.eg.db","px:JNK2","px"
"px:HER3_pY1289","px:HER3_pY1289","HER3_pY1289","HER3_pY1289",NA,NA,"org.Hs.eg.db","px:HER3_pY1289","px"
"px:PI3K-p110-alpha","px:PI3K-p110-alpha","PI3K-p110-alpha","PI3K-p110-alpha",NA,NA,"org.Hs.eg.db","px:PI3K-p110-alpha","px"
"px:STAT3_pY705","px:STAT3_pY705","STAT3","STAT3","signal transducer and activator of transcription 3","17q21.2","org.Hs.eg.db","px:STAT3_pY705","px"
"px:mTOR_pS2448","px:mTOR_pS2448","MTOR","MTOR","mechanistic target of rapamycin kinase","1p36.22","org.Hs.eg.db","px:mTOR_pS2448","px"
"px:PRDX1","px:PRDX1","PRDX1","PRDX1","peroxiredoxin 1","1p34.1","org.Hs.eg.db","px:PRDX1","px"
"px:PDK1_pS241","px:PDK1_pS241","PDK1","PDK1","pyruvate dehydrogenase kinase 1","2q31.1","org.Hs.eg.db","px:PDK1_pS241","px"
"px:Mre11","px:Mre11","MRE11","MRE11","MRE11 homolog, double strand break repair nuclease","11q21","org.Hs.eg.db","px:Mre11","px"
"px:Dvl3","px:Dvl3","DVL3","DVL3","dishevelled segment polarity protein 3","3q27.1","org.Hs.eg.db","px:Dvl3","px"
"px:CDK1","px:CDK1","CDK1","CDK1","cyclin dependent kinase 1","10q21.2","org.Hs.eg.db","px:CDK1","px"
"px:c-Met_pY1235","px:c-Met_pY1235","c-Met_pY1235","c-Met_pY1235",NA,NA,"org.Hs.eg.db","px:c-Met_pY1235","px"
"px:p90RSK_pT359_S363","px:p90RSK_pT359_S363","p90RSK_pT359_S363","p90RSK_pT359_S363",NA,NA,"org.Hs.eg.db","px:p90RSK_pT359_S363","px"
"px:YB-1","px:YB-1","YB-1","YB-1",NA,NA,"org.Hs.eg.db","px:YB-1","px"
"px:Stathmin","px:Stathmin","Stathmin","Stathmin",NA,NA,"org.Hs.eg.db","px:Stathmin","px"
"px:EGFR_pY1173","px:EGFR_pY1173","EGFR","EGFR","epidermal growth factor receptor","7p11.2","org.Hs.eg.db","px:EGFR_pY1173","px"
"px:Src","px:Src","SRC","SRC","SRC proto-oncogene, non-receptor tyrosine kinase","20q11.23","org.Hs.eg.db","px:Src","px"
"px:p27_pT198","px:p27_pT198","p27_pT198","p27_pT198",NA,NA,"org.Hs.eg.db","px:p27_pT198","px"
"px:XBP1","px:XBP1","XBP1","XBP1","X-box binding protein 1","22q12.1","org.Hs.eg.db","px:XBP1","px"
"px:N-Cadherin","px:N-Cadherin","N-Cadherin","N-Cadherin",NA,NA,"org.Hs.eg.db","px:N-Cadherin","px"
"px:CD49b","px:CD49b","CD49b","CD49b",NA,NA,"org.Hs.eg.db","px:CD49b","px"
"px:Pea-15","px:Pea-15","Pea-15","Pea-15",NA,NA,"org.Hs.eg.db","px:Pea-15","px"
"px:c-Myc","px:c-Myc","c-Myc","c-Myc",NA,NA,"org.Hs.eg.db","px:c-Myc","px"
"px:4E-BP1_pS65","px:4E-BP1_pS65","4E-BP1_pS65","4E-BP1_pS65",NA,NA,"org.Hs.eg.db","px:4E-BP1_pS65","px"
"px:PRAS40_pT246","px:PRAS40_pT246","PRAS40_pT246","PRAS40_pT246",NA,NA,"org.Hs.eg.db","px:PRAS40_pT246","px"
"px:IRS1","px:IRS1","IRS1","IRS1","insulin receptor substrate 1","2q36.3","org.Hs.eg.db","px:IRS1","px"
"px:Transglutaminase","px:Transglutaminase","Transglutaminase","Transglutaminase",NA,NA,"org.Hs.eg.db","px:Transglutaminase","px"
"px:Notch1","px:Notch1","NOTCH1","NOTCH1","notch receptor 1","9q34.3","org.Hs.eg.db","px:Notch1","px"
"px:Bax","px:Bax","BAX","BAX","BCL2 associated X, apoptosis regulator","19q13.33","org.Hs.eg.db","px:Bax","px"
"px:Bid","px:Bid","BID","BID","BH3 interacting domain death agonist","22q11.21","org.Hs.eg.db","px:Bid","px"
"px:C-Raf","px:C-Raf","C-Raf","C-Raf",NA,NA,"org.Hs.eg.db","px:C-Raf","px"
"px:4E-BP1_pT70","px:4E-BP1_pT70","4E-BP1_pT70","4E-BP1_pT70",NA,NA,"org.Hs.eg.db","px:4E-BP1_pT70","px"
"px:Bak","px:Bak","Bak","Bak",NA,NA,"org.Hs.eg.db","px:Bak","px"
"px:p38_MAPK","px:p38_MAPK","p38_MAPK","p38_MAPK",NA,NA,"org.Hs.eg.db","px:p38_MAPK","px"
"px:MEK1_pS217_S221","px:MEK1_pS217_S221","MEK1_pS217_S221","MEK1_pS217_S221",NA,NA,"org.Hs.eg.db","px:MEK1_pS217_S221","px"
"px:Beclin","px:Beclin","Beclin","Beclin",NA,NA,"org.Hs.eg.db","px:Beclin","px"
"px:K-Ras","px:K-Ras","K-Ras","K-Ras",NA,NA,"org.Hs.eg.db","px:K-Ras","px"
"px:AMPK_alpha","px:AMPK_alpha","AMPK_alpha","AMPK_alpha",NA,NA,"org.Hs.eg.db","px:AMPK_alpha","px"
"px:PCNA","px:PCNA","PCNA","PCNA","proliferating cell nuclear antigen","20p12.3","org.Hs.eg.db","px:PCNA","px"
"px:Smad1","px:Smad1","SMAD1","SMAD1","SMAD family member 1","4q31.21","org.Hs.eg.db","px:Smad1","px"
"px:PKC-alpha","px:PKC-alpha","PKC-alpha","PKC-alpha",NA,NA,"org.Hs.eg.db","px:PKC-alpha","px"
"px:A-Raf_pS299","px:A-Raf_pS299","A-Raf_pS299","A-Raf_pS299",NA,NA,"org.Hs.eg.db","px:A-Raf_pS299","px"
"px:Chk1","px:Chk1","Chk1","Chk1",NA,NA,"org.Hs.eg.db","px:Chk1","px"
"px:NF2","px:NF2","NF2","NF2","NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor","22q12.2","org.Hs.eg.db","px:NF2","px"
"px:eEF2","px:eEF2","EEF2","EEF2","eukaryotic translation elongation factor 2","19p13.3","org.Hs.eg.db","px:eEF2","px"
"px:eIF4E","px:eIF4E","EIF4E","EIF4E","eukaryotic translation initiation factor 4E","4q23","org.Hs.eg.db","px:eIF4E","px"
"px:Rad50","px:Rad50","RAD50","RAD50","RAD50 double strand break repair protein","5q31.1","org.Hs.eg.db","px:Rad50","px"
"px:ARID1A","px:ARID1A","ARID1A","ARID1A","AT-rich interaction domain 1A","1p36.11","org.Hs.eg.db","px:ARID1A","px"
"px:ANLN","px:ANLN","ANLN","ANLN","anillin, actin binding protein","7p14.2","org.Hs.eg.db","px:ANLN","px"
"px:Chk1_pS345","px:Chk1_pS345","Chk1_pS345","Chk1_pS345",NA,NA,"org.Hs.eg.db","px:Chk1_pS345","px"
"px:Smad4","px:Smad4","SMAD4","SMAD4","SMAD family member 4","18q21.2","org.Hs.eg.db","px:Smad4","px"
"px:FOXO3a","px:FOXO3a","FOXO3a","FOXO3a",NA,NA,"org.Hs.eg.db","px:FOXO3a","px"
"px:p27_pT157","px:p27_pT157","p27_pT157","p27_pT157",NA,NA,"org.Hs.eg.db","px:p27_pT157","px"
"px:14-3-3_epsilon","px:14-3-3_epsilon","14-3-3_epsilon","14-3-3_epsilon",NA,NA,"org.Hs.eg.db","px:14-3-3_epsilon","px"
"px:Smad3","px:Smad3","SMAD3","SMAD3","SMAD family member 3","15q22.33","org.Hs.eg.db","px:Smad3","px"
"px:C-Raf_pS338","px:C-Raf_pS338","C-Raf_pS338","C-Raf_pS338",NA,NA,"org.Hs.eg.db","px:C-Raf_pS338","px"
"px:MIG-6","px:MIG-6","MIG-6","MIG-6",NA,NA,"org.Hs.eg.db","px:MIG-6","px"
"px:LBK1","px:LBK1","LBK1","LBK1",NA,NA,"org.Hs.eg.db","px:LBK1","px"
"px:PKC-delta_pS664","px:PKC-delta_pS664","PKC-delta_pS664","PKC-delta_pS664",NA,NA,"org.Hs.eg.db","px:PKC-delta_pS664","px"
"px:Bcl-xL","px:Bcl-xL","Bcl-xL","Bcl-xL",NA,NA,"org.Hs.eg.db","px:Bcl-xL","px"
"px:XRCC1","px:XRCC1","XRCC1","XRCC1","X-ray repair cross complementing 1","19q13.31","org.Hs.eg.db","px:XRCC1","px"
