"","sex:Male_vs_Female","weight_g:high_vs_low","length_cm:high_vs_low","ab_fat:high_vs_low","other_fat:high_vs_low","total_fat:high_vs_low"
"F2_4","Male","high","high","low","high","high"
"F2_5","Male","high","high","low","high","high"
"F2_6","Male","high","high","low","high","low"
"F2_7","Male","high","high","low","high","low"
"F2_8","Male","high","high","low","low","low"
"F2_9","Male","high","high","high","high","high"
"F2_10","Male","high","high","high","high","high"
"F2_13","Male","high","high","low","high","high"
"F2_16","Male","high","high","low","high","high"
"F2_17","Male","high","high","high","high","high"
"F2_18","Male","high","high","low","high","high"
"F2_22","Male","high","low","low","high","high"
"F2_27","Male","high","high","low","high","low"
"F2_28","Male","low","high","high","low","low"
"F2_29","Male","high","high","low","high","low"
"F2_30","Male","high","high","low","low","low"
"F2_33","Male","high","low","high","high","high"
"F2_34","Male","high","high","high","high","high"
"F2_35","Male","high","low","high","high","high"
"F2_39","Male","high","low","low","high","low"
"F2_40","Male","high","low","low","low","low"
"F2_41","Male","high","low","low","low","low"
"F2_49","Male","low","low","low","low","low"
"F2_50","Male","low","low","low","low","low"
"F2_55","Male","high","high","low","low","low"
"F2_56","Male","high","high","low","low","low"
"F2_57","Male","high","high","low","low","low"
"F2_59","Male","high","high","low","low","low"
"F2_60","Male","high","low","low","high","low"
"F2_73","Male","high","high","low","high","high"
"F2_74","Male","high","high","low","high","high"
"F2_75","Male","high","high","low","high","low"
"F2_76","Male","high","high","low","high","high"
"F2_84","Male","high","high","low","low","low"
"F2_85","Male","low","high","low","low","low"
"F2_91","Male","high","high","low","low","low"
"F2_92","Male","high","high","low","high","low"
"F2_93","Male","low","low","high","low","low"
"F2_94","Male","high","high","low","high","low"
"F2_104","Male","high","high","low","high","low"
"F2_105","Male","low","high","high","low","low"
"F2_114","Male","high","high","low","low","low"
"F2_115","Male","high","high","high","high","high"
"F2_116","Male","high","high","high","high","high"
"F2_120","Male","high","high","high","high","high"
"F2_121","Male","high","low","low","high","high"
"F2_122","Male","high","high","low","high","low"
"F2_123","Male","low","low","high","high","high"
"F2_124","Male","high","low","high","high","high"
"F2_146","Male","high","high","high","low","high"
"F2_147","Male","high","high","low","low","low"
"F2_148","Male","high","high","low","low","low"
"F2_149","Male","high","high","low","high","low"
"F2_151","Male","high","high","low","low","low"
"F2_152","Male","high","high","low","low","low"
"F2_153","Male","high","high","high","high","high"
"F2_158","Male","high","high","low","high","high"
"F2_159","Male","high","high","high","low","low"
"F2_160","Male","high","high","low","low","low"
"F2_170","Male","high","high","low","low","low"
"F2_171","Male","high","high","low","high","low"
"F2_172","Male","low","low","low","low","low"
