"","act12h_018","act12h_019","act24h_023","act48h_026","act48h_027","act72h_028","act72h_029","act72h_030","act96h_032","act96h_034","notact_004","notact_007","notact_008"
"px:TOPORS",0.16526111905529,0.165199390045348,10.1940703385335,9.93860340745442,10.2262482673972,10.0744691806819,0.16517809260293,0.165251306116935,7.40745817781619,1.77090260821647,0.165249858934753,0.165266546811971,0.165238946201576
"px:KCNN4",6.94243505522302,6.06282876236756,10.1346607209959,10.3472147204663,10.4917240871101,10.3220513908399,8.73200279403032,10.0330503692553,0.165140121409791,9.64638979755062,0.165339930893205,0.165314956350989,0.16511471207029
"px:CENPJ",10.8184032471593,11.065374847119,10.1094765521491,9.8372107994015,9.90799771559297,10.7618687968254,10.4033509975948,10.011755116924,10.5532213681124,10.4974974871148,0.165217335012358,0.164979208017162,0.165207421603882
"px:STMN2",0.165247023600078,0.165395362572347,0.16517995654239,9.46389094812562,8.89032725167778,9.14604875601723,0.927839248769012,9.09227354033082,0.165272088524624,10.1902816806564,6.59946374147548,4.77048754409097,6.4804344646413
"px:TNIP3",11.2893994660263,6.79009217972972,0.165161781311717,0.165483479443493,0.165111617743963,0.165214611926515,0.165329416575352,1.07640229860097,9.64187645500456,0.165297399062539,0.165117104339686,0.165072712253581,0.165237500093087
"px:ANLN",7.65932855016811,6.58066004452121,9.64162886384749,12.0391230286695,11.5239010261137,9.57247873098823,9.64133211809143,9.52520966369325,11.4084185403409,9.02065888170161,0.165312217079093,0.165370520292704,3.42603534658874
"px:PGAP1",0.165254984550538,0.165231387547265,0.165359476725752,9.42208117000737,6.90912238187815,6.88665699577284,6.66394752042256,6.93201346136925,0.16525797098013,8.13663065252475,8.12811846210926,6.46996658498403,5.44360803473392
"px:DSC1",0.165301224395053,8.83622291545247,8.71358764577914,0.165278590049362,9.0205389775279,4.34831847354372,2.59090190140685,2.59699480279071,0.165152152762204,0.165111826787846,0.165271659936541,0.165342633336349,2.53210386085351
"px:ETAA1",0.165446987813561,0.164992834486258,0.165109348492625,0.165289871072575,0.165277755118462,0.165332571904029,0.165186885366464,0.165130320655976,0.165307639321445,0.165067793812856,8.64557604724497,8.06299366192395,8.07282130532684
"px:CCNE2",0.165180296678051,3.82224182091371,0.165160286782209,0.165196274670385,0.165108871617051,0.165407744645873,0.165269347860828,0.165054348100978,0.165236851590287,0.165267201490413,7.8714119818624,7.27446906481567,7.15272354268359
