"","notact_004","notact_007","notact_008","notact_009","notact_010","notact_011","notact_014","act12h_018","act12h_019","act12h_020","act24h_023","act48h_026","act48h_027","act72h_028","act72h_029","act72h_030","act96h_032","act96h_034"
"ABCD2",3.38850289402638,4.42020403036715,3.00102823970393,1.94364536950154,1.28037523339619,0.81119508707236,1.50816431494788,1.40599598889679,1.78384240932238,2.18745503987043,0,0,0,0,0,0,0,0
"ABCD3",4.29584301578639,4.34063585446657,4.06986709511739,5.31179652921016,3.68617737054775,4.15684574836046,5.24212818250433,4.46081703971783,3.76068856814532,4.56357750436601,4.89548066755929,5.56770998073838,5.38332010962017,5.43886607937323,5.57198903196471,5.74873641361078,5.41668513945769,4.90048991549512
"ABCD4",0,0,0,0,0,0,0,2.82748490186379,3.69717355175322,3.03687402100509,0,0,1.00517565775681,0,0,0,0,0
"ABCE1",9.07056671100184,9.03592715210053,9.10513032302313,9.18792273988493,8.86475126311751,9.08333940818544,8.96696659480209,8.9624095954652,8.79616972943598,8.83545057479952,9.22780623206849,9.57639360253333,9.78223376416011,9.54584476594862,9.50338992658155,9.55234659926963,8.8998464174159,9.35474386875597
"ABCF1",8.58978746380596,9.24338109198682,8.87460067038228,9.55944919921539,8.90491531241801,8.87687077876331,9.15482289819809,8.78094815080846,8.38894170864515,8.73040930100975,9.34676689616806,8.85513457705412,8.93241831225013,8.96593615220728,8.89114186214459,8.82412924557797,8.8015379313789,8.6815225774784
"ABCF2",6.35756499676084,6.2363060570862,6.57107947345657,5.19634819333825,6.89124645807652,6.60427031095037,6.64653246625341,8.04056711991327,7.01386884346297,7.45069366327638,8.5203821009988,8.68384297066476,8.67024428997098,8.07531914840528,7.94662987081264,8.31620412978633,7.78565771642638,7.54652729920112
"ABCF3",5.95636909226429,6.35991879492696,6.39144071404181,5.44982504344971,6.17990958032381,5.74301855283016,5.82995066954157,6.16572067477391,5.99805278933715,6.30660453861238,6.85590035981744,6.14936189701726,6.65580111178962,6.31610404553602,6.06394796584157,6.3071443716307,6.10699066880486,5.94468531511092
"ABHD10",6.87388609338823,7.20545370711379,7.28596817341349,7.36778433154812,7.27911188648544,7.8668890688879,7.0201229039583,7.1758370260868,6.80176392647453,7.49356384448475,6.37974406202593,6.40050563483031,6.38248665498678,6.8599062737513,6.79405216259828,6.83442533273449,6.77861181366946,6.87860207293682
"ABHD11",4.48362878887492,4.00102693735583,2.87498148886125,3.27284329575035,3.85984385391337,3.31503490603103,3.28276775312575,3.90363844386011,3.23935209348398,3.40785335636373,3.33277255076368,3.43721948015022,3.20447634762904,3.83529608285295,4.2076739193839,3.39085378501606,3.24036446556426,3.6048971829086
"ABHD12",2.04067027242914,2.66340996373984,1.23207299546804,6.24020717257194,3.84512357680379,2.06884381893536,2.16736737091287,3.25719567784562,2.76322583590554,2.55552349261579,2.2960964178124,2.72356097134554,2.93258162550576,3.01182627880163,2.52185767115953,2.68644510640203,2.88482391554856,1.53462149065035
"ABHD14B",9.10045481229286,7.661705526681,8.37889800082931,6.37767339079945,8.5263820762022,8.34188269790905,5.77597742289974,8.21910777144329,8.05239103335551,8.08800687793835,7.86854938804806,7.28247115185187,6.94140713109182,7.09776499233152,7.48866930174675,7.0607079863079,6.67996772190988,7.55791925615232
